"codice","nome","cognome","cf","indirizzo","tel","email","dataNas"
"178","Federico","Russo","RSSFDR59R17S239R","Via Papa Giovanni XXIII, 86, 24094 Dalmine (BG)","368092109","federico.russo06@gmail.com","1959-10-17"
"179","Elena","Rizzo","RZZLNX62H68E105N","Via Garibaldi, 75, 24055 Clusone (BG)","345923021","elena.rizzo37@gmail.com","1962-06-28"
"180","Maria","Conti","CNTMRX60D48O699E","Via Giovanni Paolo II, 66, 24039 Dalmine (BG)","332728429","maria.conti06@gmail.com","1960-04-08"
"181","Lorenzo","Colombo","CLMLRN00E12Q753B","Via Garibaldi, 88, 24001 Seriate (BG)","381298303","lorenzo.colombo12@gmail.com","2000-05-12"
"182","Antonio","Romano","RMNNTN85E05U901H","Via Donizetti, 2, 24059 Seriate (BG)","391532497","antonio.romano63@gmail.com","1985-05-05"
"183","Martina","Caruso","CRSMRT03E49V277T","Via Donizetti, 37, 24098 Bergamo (BG)","376935342","martina.caruso31@gmail.com","2003-05-09"
"184","Simone","Mancini","MNCSMN68M05O849K","Via Donizetti, 142, 24014 Albino (BG)","347193442","simone.mancini57@gmail.com","1968-08-05"
"185","Matteo","Caruso","CRSMTT66D08I831P","Via Carducci, 130, 24013 Bergamo (BG)","343017326","matteo.caruso73@gmail.com","1966-04-08"
"186","Antonio","Rossi","RSSNTN96R30S953N","Via Verdi, 65, 24012 Osio Sotto (BG)","370639481","antonio.rossi49@gmail.com","1996-10-30"
"187","Vittoria","Rizzo","RZZVTT91S69W577U","Via Giovanni Paolo II, 107, 24082 Clusone (BG)","320878145","vittoria.rizzo62@gmail.com","1991-11-29"
"188","Elena","Bianchi","BNCLNX66S62C727E","Via Verdi, 61, 24059 Albino (BG)","392771950","elena.bianchi35@gmail.com","1966-11-22"
"189","Giuseppe","Russo","RSSGSP96B05T568S","Viale Vittorio Emanuele II, 42, 24012 Clusone (BG)","387307834","giuseppe.russo86@gmail.com","1996-02-05"
"190","Anna","De Luca","DLCNNX54A59F043Q","Via Guglielmo d'Alzano, 30, 24003 Albino (BG)","390568168","anna.deluca24@gmail.com","1954-01-19"
"191","Sofia","Russo","RSSSFX00L71G392X","Via Palma il Vecchio, 130, 24024 Treviglio (BG)","380495528","sofia.russo40@gmail.com","2000-07-31"
"192","Antonio","Rossi","RSSNTN75T24E827M","Via Guglielmo d'Alzano, 76, 24037 Stezzano (BG)","375943306","antonio.rossi28@gmail.com","1975-12-24"
"193","Chiara","Caruso","CRSCHR87R66L017Q","Via Palma il Vecchio, 9, 24096 Treviglio (BG)","384946724","chiara.caruso23@gmail.com","1987-10-26"
"194","Lorenzo","Esposito","SPSLRN70C31U926U","Via Verdi, 107, 24012 Clusone (BG)","363816615","lorenzo.esposito18@gmail.com","1970-03-31"
"195","Marco","Esposito","SPSMRC71T28I375G","Via Verdi, 149, 24037 Treviglio (BG)","381201627","marco.esposito32@gmail.com","1971-12-28"
"196","Lorenzo","Rizzo","RZZLRN83D13L010O","Via Roma, 73, 24058 Dalmine (BG)","355728495","lorenzo.rizzo06@gmail.com","1983-04-13"
"197","Federico","Leone","LNXFDR00D23M340S","Viale Vittorio Emanuele II, 15, 24052 Bergamo (BG)","326117472","federico.leone30@gmail.com","2000-04-23"
"198","Andrea","Russo","RSSNDR87M22X143E","Via Guglielmo d'Alzano, 49, 24035 Clusone (BG)","321645496","andrea.russo92@gmail.com","1987-08-22"
"199","Marco","De Luca","DLCMRC75E05I634O","Via Giovanni Paolo II, 3, 24098 Clusone (BG)","327613663","marco.deluca30@gmail.com","1975-05-05"
"200","Alessandro","Russo","RSSLSS52L31S818U","Via Leopardi, 59, 24046 Bergamo (BG)","399758826","alessandro.russo96@gmail.com","1952-07-31"
"201","Sara","Conti","CNTSRX50R51N876L","Viale Vittorio Emanuele II, 97, 24012 Dalmine (BG)","369580133","sara.conti60@gmail.com","1950-10-11"
"202","Andrea","Costa","CSTNDR55C04N874W","Via Leopardi, 39, 24057 Treviglio (BG)","347003012","andrea.costa70@gmail.com","1955-03-04"
"203","Andrea","Costa","CSTNDR87C08P327A","Via Cavour, 87, 24020 Clusone (BG)","365396172","andrea.costa38@gmail.com","1987-03-08"
"204","Vittoria","Bruno","BRNVTT72T63L553S","Via Cavour, 75, 24022 Dalmine (BG)","378443897","vittoria.bruno26@gmail.com","1972-12-23"
"205","Emma","Leone","LNXMMX78L42Z552P","Via Crescenzi, 104, 24022 Stezzano (BG)","381683055","emma.leone90@gmail.com","1978-07-02"
"206","Greta","Mancini","MNCGRT53E46I104D","Via Roma, 55, 24067 Stezzano (BG)","395987968","greta.mancini97@gmail.com","1953-05-06"
"207","Giovanni","Marino","MRNGVN75B14L632N","Via Papa Giovanni XXIII, 52, 24029 Stezzano (BG)","342980372","giovanni.marino70@gmail.com","1975-02-14"
"208","Chiara","Leone","LNXCHR76L43F534S","Via Carducci, 61, 24001 Albino (BG)","321500988","chiara.leone83@gmail.com","1976-07-03"
"209","Alice","Ferrari","FRRLCX61C66U496O","Via Cavour, 15, 24017 Osio Sotto (BG)","346217236","alice.ferrari70@gmail.com","1961-03-26"
"210","Sara","Fontana","FNTSRX75A46Y692Z","Via Leopardi, 6, 24098 Dalmine (BG)","379191635","sara.fontana13@gmail.com","1975-01-06"
"211","Sara","Mancini","MNCSRX91B68N956X","Via Palma il Vecchio, 35, 24024 Clusone (BG)","389438066","sara.mancini39@gmail.com","1991-02-28"
"212","Davide","De Luca","DLCDVD84P02S471Q","Via Cavour, 122, 24094 Seriate (BG)","390204495","davide.deluca86@gmail.com","1984-09-02"
"213","Sara","Ricci","RCCSRX65P64L741M","Via Crescenzi, 18, 24052 Dalmine (BG)","376451501","sara.ricci46@gmail.com","1965-09-24"
"214","Chiara","Marino","MRNCHR95P49P067O","Via Palma il Vecchio, 72, 24013 Clusone (BG)","321921694","chiara.marino18@gmail.com","1995-09-09"
"215","Luca","Rizzo","RZZLCX68P10A949C","Via Garibaldi, 62, 24049 Seriate (BG)","324771698","luca.rizzo18@gmail.com","1968-09-10"
"216","Alice","Ferrari","FRRLCX50S60W206G","Via Palma il Vecchio, 74, 24003 Bergamo (BG)","361332872","alice.ferrari45@gmail.com","1950-11-20"
"217","Alessandro","Costa","CSTLSS82T16Z492E","Via Cavour, 89, 24012 Clusone (BG)","396136172","alessandro.costa54@gmail.com","1982-12-16"
"218","Giuseppe","Greco","GRCGSP77T04S188W","Via San Bernardino, 37, 24076 Stezzano (BG)","351240987","giuseppe.greco67@gmail.com","1977-12-04"
"219","Antonio","Mancini","MNCNTN54S14I022V","Via Leopardi, 101, 24061 Stezzano (BG)","346037285","antonio.mancini55@gmail.com","1954-11-14"
"220","Greta","Leone","LNXGRT92H47J724W","Via Garibaldi, 27, 24046 Treviglio (BG)","390023039","greta.leone54@gmail.com","1992-06-07"
"221","Matteo","Fontana","FNTMTT73H06S775U","Via Giovanni Paolo II, 108, 24033 Osio Sotto (BG)","333028436","matteo.fontana44@gmail.com","1973-06-06"
"222","Marco","Marino","MRNMRC04A23F644D","Via Carducci, 140, 24049 Treviglio (BG)","346961465","marco.marino25@gmail.com","2004-01-23"
"223","Matteo","Costa","CSTMTT73L19B878Y","Via Papa Giovanni XXIII, 40, 24030 Osio Sotto (BG)","365920478","matteo.costa72@gmail.com","1973-07-19"
"224","Aurora","Ferrari","FRRRRX56T60N917Y","Via Giovanni Paolo II, 6, 24044 Seriate (BG)","393379227","aurora.ferrari01@gmail.com","1956-12-20"
"225","Federico","Costa","CSTFDR69H28Z309V","Via Leopardi, 105, 24098 Albino (BG)","388522511","federico.costa58@gmail.com","1969-06-28"
"226","Francesco","Rossi","RSSFRN56C09F607I","Via Donizetti, 78, 24039 Stezzano (BG)","399796536","francesco.rossi96@gmail.com","1956-03-09"
"227","Marco","Mancini","MNCMRC01B01J612Z","Via Verdi, 45, 24001 Treviglio (BG)","320006145","marco.mancini51@gmail.com","2001-02-01"
"228","Chiara","Bruno","BRNCHR81C58A088P","Via Palma il Vecchio, 83, 24030 Osio Sotto (BG)","332689754","chiara.bruno13@gmail.com","1981-03-18"
"229","Andrea","Ferrari","FRRNDR76A31W234X","Viale Vittorio Emanuele II, 12, 24041 Osio Sotto (BG)","320079153","andrea.ferrari54@gmail.com","1976-01-31"
"230","Emma","Colombo","CLMMMX72C69X718U","Via Crescenzi, 59, 24026 Treviglio (BG)","381594145","emma.colombo95@gmail.com","1972-03-29"
"231","Antonio","Conti","CNTNTN83D20J768U","Via Giovanni Paolo II, 49, 24049 Albino (BG)","376916903","antonio.conti97@gmail.com","1983-04-20"
"232","Chiara","Conti","CNTCHR80R46N358H","Via Cavour, 100, 24076 Bergamo (BG)","329360325","chiara.conti64@gmail.com","1980-10-06"
"233","Martina","Colombo","CLMMRT90R59D090M","Via Donizetti, 60, 24061 Bergamo (BG)","360755197","martina.colombo71@gmail.com","1990-10-19"
"234","Marco","Romano","RMNMRC56M07R544G","Via Crescenzi, 69, 24052 Albino (BG)","363143297","marco.romano48@gmail.com","1956-08-07"
"235","Martina","De Luca","DLCMRT97C45H172S","Via Carducci, 91, 24014 Bergamo (BG)","345725029","martina.deluca20@gmail.com","1997-03-05"
"236","Francesca","Fontana","FNTFRN66S62Y935V","Via Carducci, 56, 24013 Osio Sotto (BG)","326306784","francesca.fontana72@gmail.com","1966-11-22"
"237","Aurora","Conti","CNTRRX64R60K734D","Via Cavour, 28, 24016 Albino (BG)","397626248","aurora.conti24@gmail.com","1964-10-20"
"238","Andrea","Mancini","MNCNDR05L14Q823R","Via Giovanni Paolo II, 132, 24053 Albino (BG)","350162265","andrea.mancini77@gmail.com","2005-07-14"
"239","Alice","Russo","RSSLCX64M67X066V","Via Verdi, 7, 24087 Treviglio (BG)","383003720","alice.russo46@gmail.com","1964-08-27"
"240","Elena","Esposito","SPSLNX83S66Q757B","Via Guglielmo d'Alzano, 72, 24001 Seriate (BG)","384245803","elena.esposito43@gmail.com","1983-11-26"
"241","Francesco","Bruno","BRNFRN50C06Y021F","Via Giovanni Paolo II, 148, 24033 Treviglio (BG)","386259515","francesco.bruno03@gmail.com","1950-03-06"
"242","Emma","Colombo","CLMMMX03B64Z650L","Via Roma, 96, 24096 Bergamo (BG)","350205548","emma.colombo54@gmail.com","2003-02-24"
"243","Vittoria","Gallo","GLLVTT98H43Z739C","Via Papa Giovanni XXIII, 13, 24052 Albino (BG)","335259311","vittoria.gallo26@gmail.com","1998-06-03"
"244","Alice","Costa","CSTLCX64H44G603O","Via Palma il Vecchio, 147, 24098 Clusone (BG)","368372025","alice.costa43@gmail.com","1964-06-04"
"245","Antonio","Greco","GRCNTN67M24J570K","Via Verdi, 136, 24012 Clusone (BG)","322920346","antonio.greco11@gmail.com","1967-08-24"
"246","Aurora","Bianchi","BNCRRX80P60K265X","Via San Bernardino, 52, 24096 Osio Sotto (BG)","351366215","aurora.bianchi79@gmail.com","1980-09-20"
"247","Vittoria","Rizzo","RZZVTT61B64H550W","Via San Bernardino, 80, 24003 Seriate (BG)","354974100","vittoria.rizzo36@gmail.com","1961-02-24"
"248","Anna","Costa","CSTNNX74E47Q750J","Via Carducci, 110, 24067 Osio Sotto (BG)","389742846","anna.costa45@gmail.com","1974-05-07"
"249","Anna","De Luca","DLCNNX94L69T868L","Via Carducci, 54, 24022 Stezzano (BG)","344319161","anna.deluca25@gmail.com","1994-07-29"
"250","Valentina","Marino","MRNVLN04E59U997Z","Viale Vittorio Emanuele II, 102, 24016 Albino (BG)","355136665","valentina.marino35@gmail.com","2004-05-19"
"251","Giulia","Rizzo","RZZGLX85S44S598S","Via Donizetti, 108, 24053 Stezzano (BG)","377539472","giulia.rizzo89@gmail.com","1985-11-04"
"252","Giulia","Ferrari","FRRGLX90A44M119X","Via Verdi, 6, 24039 Seriate (BG)","323767392","giulia.ferrari43@gmail.com","1990-01-04"
"253","Sofia","Marino","MRNSFX82L42Z894N","Via Roma, 76, 24035 Seriate (BG)","370687817","sofia.marino02@gmail.com","1982-07-02"
"254","Federico","Esposito","SPSFDR63R18W881J","Via Giovanni Paolo II, 107, 24098 Dalmine (BG)","335692498","federico.esposito01@gmail.com","1963-10-18"
"255","Martina","Ferrari","FRRMRT90C53G018G","Via Roma, 75, 24024 Osio Sotto (BG)","359260109","martina.ferrari80@gmail.com","1990-03-13"
"256","Giuseppe","Bruno","BRNGSP89D06J190Y","Via Garibaldi, 128, 24030 Osio Sotto (BG)","322315281","giuseppe.bruno98@gmail.com","1989-04-06"
"257","Elena","Greco","GRCLNX90D42B448P","Via Verdi, 5, 24037 Bergamo (BG)","384572591","elena.greco95@gmail.com","1990-04-02"
"258","Alice","Rossi","RSSLCX89T68E325P","Via Guglielmo d'Alzano, 32, 24053 Osio Sotto (BG)","320149399","alice.rossi16@gmail.com","1989-12-28"
"259","Christian","Esposito","SPSCHR78B16J621X","Via Donizetti, 15, 24094 Treviglio (BG)","354511023","christian.esposito87@gmail.com","1978-02-16"
"260","Elena","Russo","RSSLNX51D56U754G","Via Roma, 79, 24017 Seriate (BG)","341469620","elena.russo42@gmail.com","1951-04-16"
"261","Martina","Marino","MRNMRT61R64F582N","Viale Vittorio Emanuele II, 30, 24087 Bergamo (BG)","325413772","martina.marino43@gmail.com","1961-10-24"
"262","Alice","De Luca","DLCLCX97B48V792M","Via Leopardi, 14, 24053 Osio Sotto (BG)","343411458","alice.deluca71@gmail.com","1997-02-08"
"263","Lorenzo","Gallo","GLLLRN85S07S886A","Via Papa Giovanni XXIII, 97, 24041 Stezzano (BG)","368494698","lorenzo.gallo05@gmail.com","1985-11-07"
"264","Christian","Greco","GRCCHR96B01L275C","Via Guglielmo d'Alzano, 63, 24076 Albino (BG)","337377106","christian.greco63@gmail.com","1996-02-01"
"265","Luca","Ferrari","FRRLCX64H21F369W","Via Papa Giovanni XXIII, 77, 24027 Albino (BG)","384820451","luca.ferrari86@gmail.com","1964-06-21"
"266","Simone","Conti","CNTSMN02E09N509M","Via Palma il Vecchio, 123, 24044 Albino (BG)","394770974","simone.conti56@gmail.com","2002-05-09"
"267","Chiara","Rossi","RSSCHR59B58N001R","Via Leopardi, 14, 24098 Dalmine (BG)","399400630","chiara.rossi68@gmail.com","1959-02-18"
"268","Giovanni","Gallo","GLLGVN79D19W228T","Via Papa Giovanni XXIII, 103, 24059 Seriate (BG)","345904784","giovanni.gallo70@gmail.com","1979-04-19"
"269","Andrea","Bruno","BRNNDR80B21B262R","Via Crescenzi, 43, 24035 Osio Sotto (BG)","321989162","andrea.bruno92@gmail.com","1980-02-21"
"270","Sara","Bruno","BRNSRX55E47P570F","Via Crescenzi, 62, 24026 Stezzano (BG)","398348339","sara.bruno77@gmail.com","1955-05-07"
"271","Giovanni","Ferrari","FRRGVN90T22I321F","Via Crescenzi, 47, 24076 Stezzano (BG)","338546588","giovanni.ferrari53@gmail.com","1990-12-22"
"272","Francesco","Caruso","CRSFRN83C12T446G","Via Palma il Vecchio, 117, 24055 Bergamo (BG)","320580315","francesco.caruso45@gmail.com","1983-03-12"
"273","Elena","Conti","CNTLNX69B54S527C","Via Crescenzi, 138, 24068 Bergamo (BG)","361784193","elena.conti68@gmail.com","1969-02-14"
"274","Christian","Bruno","BRNCHR80T11I916Z","Via Leopardi, 50, 24017 Albino (BG)","331376945","christian.bruno24@gmail.com","1980-12-11"
"275","Vittoria","Marino","MRNVTT62B60A481H","Via Donizetti, 119, 24053 Treviglio (BG)","384537936","vittoria.marino36@gmail.com","1962-02-20"
"276","Matteo","De Luca","DLCMTT03B16G922S","Via Crescenzi, 83, 24076 Treviglio (BG)","384559459","matteo.deluca07@gmail.com","2003-02-16"
"277","Riccardo","Ferrari","FRRRCC55B16X305P","Via Donizetti, 118, 24030 Treviglio (BG)","338437781","riccardo.ferrari86@gmail.com","1955-02-16"
"278","Federico","Fontana","FNTFDR67R01B354D","Via Leopardi, 89, 24022 Stezzano (BG)","358184853","federico.fontana44@gmail.com","1967-10-01"
"279","Giovanni","Gallo","GLLGVN98A08A392P","Via Roma, 124, 24094 Bergamo (BG)","367913592","giovanni.gallo25@gmail.com","1998-01-08"
"280","Vittoria","Bianchi","BNCVTT89S54Z390M","Via Roma, 134, 24049 Bergamo (BG)","389894059","vittoria.bianchi07@gmail.com","1989-11-14"
"281","Valentina","Russo","RSSVLN70T53C638N","Via Roma, 85, 24001 Treviglio (BG)","330940232","valentina.russo36@gmail.com","1970-12-13"
"282","Federico","Mancini","MNCFDR69P18H871Z","Via Crescenzi, 37, 24052 Albino (BG)","384072468","federico.mancini43@gmail.com","1969-09-18"
"283","Riccardo","Russo","RSSRCC65R17E136T","Via Papa Giovanni XXIII, 86, 24037 Clusone (BG)","396558547","riccardo.russo95@gmail.com","1965-10-17"
"284","Riccardo","Greco","GRCRCC79A11G946Q","Via Palma il Vecchio, 92, 24016 Dalmine (BG)","369827420","riccardo.greco31@gmail.com","1979-01-11"
"285","Sofia","Ferrari","FRRSFX78A59U312I","Via Carducci, 43, 24020 Albino (BG)","367647846","sofia.ferrari84@gmail.com","1978-01-19"
"286","Antonio","Russo","RSSNTN82A25X207Q","Via Leopardi, 88, 24095 Treviglio (BG)","383918269","antonio.russo92@gmail.com","1982-01-25"
"287","Lorenzo","Colombo","CLMLRN91B08N434S","Via Cavour, 132, 24030 Bergamo (BG)","360179287","lorenzo.colombo97@gmail.com","1991-02-08"
"288","Simone","Mancini","MNCSMN61T07J820S","Via Giovanni Paolo II, 28, 24040 Seriate (BG)","389351820","simone.mancini40@gmail.com","1961-12-07"
"289","Elena","De Luca","DLCLNX82M58T219P","Via Palma il Vecchio, 135, 24061 Bergamo (BG)","349156792","elena.deluca48@gmail.com","1982-08-18"
"290","Simone","Mancini","MNCSMN66A05E425R","Via Donizetti, 115, 24044 Clusone (BG)","335744655","simone.mancini17@gmail.com","1966-01-05"
"291","Alice","Greco","GRCLCX88M61T693Q","Via Palma il Vecchio, 24, 24049 Stezzano (BG)","382563430","alice.greco90@gmail.com","1988-08-21"
"292","Davide","Marino","MRNDVD62L10L686H","Via Roma, 18, 24076 Osio Sotto (BG)","398211033","davide.marino66@gmail.com","1962-07-10"
"293","Giuseppe","Costa","CSTGSP74S28G132K","Via Donizetti, 13, 24046 Osio Sotto (BG)","335395745","giuseppe.costa10@gmail.com","1974-11-28"
"294","Anna","Ricci","RCCNNX03L44B182E","Via Guglielmo d'Alzano, 7, 24020 Osio Sotto (BG)","325958052","anna.ricci32@gmail.com","2003-07-04"
"295","Marco","Esposito","SPSMRC99A07Z863J","Via Palma il Vecchio, 124, 24022 Albino (BG)","360117218","marco.esposito56@gmail.com","1999-01-07"
"296","Martina","Colombo","CLMMRT98E65L595B","Via San Bernardino, 12, 24046 Osio Sotto (BG)","387740163","martina.colombo32@gmail.com","1998-05-25"
"297","Aurora","Greco","GRCRRX51S63Q633Y","Via Cavour, 9, 24076 Albino (BG)","365949112","aurora.greco95@gmail.com","1951-11-23"
"298","Luca","Costa","CSTLCX80H23A837G","Via Leopardi, 29, 24040 Dalmine (BG)","382285884","luca.costa37@gmail.com","1980-06-23"
"299","Francesca","De Luca","DLCFRN91E61L547R","Via Giovanni Paolo II, 117, 24094 Dalmine (BG)","368791492","francesca.deluca04@gmail.com","1991-05-21"
"300","Greta","De Luca","DLCGRT63E62L261B","Via Papa Giovanni XXIII, 146, 24013 Dalmine (BG)","384309982","greta.deluca79@gmail.com","1963-05-22"
